route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
3778_48887,129,3778_6474,Belgard,224.MF-BH.93-RED-y11,1,3778_7778148_Txc109668,3778_40
3778_48887,130,3778_6475,Belgard,172.Sat.93-RED-y11-1,1,3778_7778148_Txc109439,3778_40
3778_48887,131,3778_6476,Belgard,172.gf.93-RED-y11-16,1,3778_7778148_Txc109441,3778_40
3778_48887,129,3778_6479,The Point,225.MF-BH.93-RED-y11,1,3778_7778148_Txc109672,3778_50
3778_48886,132,3778_648,Brides Glen,120.SuBH.93-GRN-y11-,0,3778_7778148_Txc104706,3778_1
3778_48887,130,3778_6480,The Point,173.Sat.93-RED-y11-1,1,3778_7778148_Txc109443,3778_51
3778_48887,131,3778_6481,The Point,173.gf.93-RED-y11-16,1,3778_7778148_Txc109445,3778_52
3778_48887,130,3778_6484,Belgard,174.Sat.93-RED-y11-1,1,3778_7778148_Txc109447,3778_40
3778_48887,131,3778_6485,Belgard,174.gf.93-RED-y11-16,1,3778_7778148_Txc109449,3778_40
3778_48887,129,3778_6486,Belgard,226.MF-BH.93-RED-y11,1,3778_7778148_Txc109676,3778_40
3778_48887,130,3778_6489,The Point,175.Sat.93-RED-y11-1,1,3778_7778148_Txc109451,3778_51
3778_48887,131,3778_6490,The Point,175.gf.93-RED-y11-16,1,3778_7778148_Txc109453,3778_52
3778_48887,129,3778_6491,The Point,227.MF-BH.93-RED-y11,1,3778_7778148_Txc109680,3778_50
3778_48887,130,3778_6494,Belgard,176.Sat.93-RED-y11-1,1,3778_7778148_Txc109455,3778_40
3778_48887,131,3778_6495,Belgard,176.gf.93-RED-y11-16,1,3778_7778148_Txc109457,3778_40
3778_48887,129,3778_6496,Belgard,228.MF-BH.93-RED-y11,1,3778_7778148_Txc109684,3778_40
3778_48887,130,3778_6499,The Point,177.Sat.93-RED-y11-1,1,3778_7778148_Txc109459,3778_51
3778_48886,129,3778_65,Brides Glen,208.MF-BH.93-GRN-y11,0,3778_7778148_Txc105042,3778_5
3778_48887,131,3778_6500,The Point,177.gf.93-RED-y11-16,1,3778_7778148_Txc109461,3778_52
3778_48887,129,3778_6501,The Point,229.MF-BH.93-RED-y11,1,3778_7778148_Txc109688,3778_50
3778_48887,130,3778_6504,Belgard,179.Sat.93-RED-y11-1,1,3778_7778148_Txc109467,3778_40
3778_48887,131,3778_6505,Belgard,179.gf.93-RED-y11-16,1,3778_7778148_Txc109469,3778_40
3778_48887,130,3778_6508,Kingswood,178.Sat.93-RED-y11-1,1,3778_7778148_Txc109463,3778_46
3778_48887,131,3778_6509,Kingswood,178.gf.93-RED-y11-16,1,3778_7778148_Txc109465,3778_46
3778_48887,130,3778_6512,Belgard,181.Sat.93-RED-y11-1,1,3778_7778148_Txc109479,3778_40
3778_48887,131,3778_6513,Belgard,181.gf.93-RED-y11-16,1,3778_7778148_Txc109481,3778_40
3778_48887,130,3778_6516,Kingswood,180.Sat.93-RED-y11-1,1,3778_7778148_Txc109475,3778_46
3778_48887,131,3778_6517,Kingswood,180.gf.93-RED-y11-16,1,3778_7778148_Txc109477,3778_46
3778_48886,129,3778_653,Brides Glen,299.MF-BH.93-GRN-y11,0,3778_7778148_Txc105297,3778_5
3778_48886,130,3778_654,Sandyford,203.Sat.93-GRN-y11-1,0,3778_7778148_Txc105028,3778_4
3778_48886,131,3778_655,Sandyford,203.gf.93-GRN-y11-16,0,3778_7778148_Txc105029,3778_4
3778_48886,129,3778_659,Sandyford,302.MF-BH.93-GRN-y11,0,3778_7778148_Txc105308,3778_4
3778_48886,129,3778_66,Brides Glen,211.MF-BH.93-GRN-y11,0,3778_7778148_Txc105055,3778_1
3778_48886,132,3778_660,Brides Glen,121.SuBH.93-GRN-y11-,0,3778_7778148_Txc104710,3778_1
3778_48886,130,3778_661,Brides Glen,202.Sat.93-GRN-y11-1,0,3778_7778148_Txc105025,3778_5
3778_48886,131,3778_662,Brides Glen,202.gf.93-GRN-y11-16,0,3778_7778148_Txc105026,3778_5
3778_48886,132,3778_67,Brides Glen,81.SuBH.93-GRN-y11-1,0,3778_7778148_Txc105612,3778_1
3778_48886,129,3778_670,Brides Glen,301.MF-BH.93-GRN-y11,0,3778_7778148_Txc105307,3778_5
3778_48886,130,3778_671,Sandyford,205.Sat.93-GRN-y11-1,0,3778_7778148_Txc105034,3778_4
3778_48886,131,3778_672,Sandyford,205.gf.93-GRN-y11-16,0,3778_7778148_Txc105035,3778_4
3778_48886,129,3778_676,Brides Glen,304.MF-BH.93-GRN-y11,0,3778_7778148_Txc105310,3778_1
3778_48886,132,3778_677,Brides Glen,122.SuBH.93-GRN-y11-,0,3778_7778148_Txc104714,3778_1
3778_48886,130,3778_682,Brides Glen,204.Sat.93-GRN-y11-1,0,3778_7778148_Txc105031,3778_5
3778_48886,131,3778_683,Brides Glen,204.gf.93-GRN-y11-16,0,3778_7778148_Txc105032,3778_5
3778_48886,129,3778_687,Brides Glen,303.MF-BH.93-GRN-y11,0,3778_7778148_Txc105309,3778_5
3778_48886,130,3778_688,Sandyford,207.Sat.93-GRN-y11-1,0,3778_7778148_Txc105040,3778_4
3778_48886,131,3778_689,Sandyford,207.gf.93-GRN-y11-16,0,3778_7778148_Txc105041,3778_4
3778_48886,129,3778_693,Sandyford,306.MF-BH.93-GRN-y11,0,3778_7778148_Txc105312,3778_4
3778_48886,132,3778_694,Brides Glen,123.SuBH.93-GRN-y11-,0,3778_7778148_Txc104718,3778_1
3778_48886,130,3778_699,Brides Glen,206.Sat.93-GRN-y11-1,0,3778_7778148_Txc105037,3778_5
3778_48886,129,3778_7,Brides Glen,194.MF-BH.93-GRN-y11,0,3778_7778148_Txc104992,3778_2
3778_48886,131,3778_700,Brides Glen,206.gf.93-GRN-y11-16,0,3778_7778148_Txc105038,3778_5
3778_48886,129,3778_704,Brides Glen,305.MF-BH.93-GRN-y11,0,3778_7778148_Txc105311,3778_5
3778_48886,129,3778_705,Sandyford,308.MF-BH.93-GRN-y11,0,3778_7778148_Txc105314,3778_4
3778_48886,130,3778_706,Sandyford,209.Sat.93-GRN-y11-1,0,3778_7778148_Txc105046,3778_4
3778_48886,131,3778_707,Sandyford,209.gf.93-GRN-y11-16,0,3778_7778148_Txc105047,3778_4
3778_48886,129,3778_71,Brides Glen,210.MF-BH.93-GRN-y11,0,3778_7778148_Txc105052,3778_5
3778_48886,132,3778_711,Brides Glen,124.SuBH.93-GRN-y11-,0,3778_7778148_Txc104722,3778_1
3778_48886,129,3778_716,Brides Glen,309.MF-BH.93-GRN-y11,0,3778_7778148_Txc105315,3778_1
3778_48886,130,3778_717,Brides Glen,208.Sat.93-GRN-y11-1,0,3778_7778148_Txc105043,3778_5
